term_localName,label,skos_broader,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type
p0032,archegoniophore,,p,A specialized archegonial-bearing branch; the female gamentangiophore,,,,,archegoniophore,http://www.w3.org/2004/02/skos/core#Concept
p0033,antheridiophore,,p,A specialized antheridium-bearing branch; the male gamentangiophore,,,,,antheridiophore,http://www.w3.org/2004/02/skos/core#Concept
p0034,antheridium,,p,"Male gametangium; a multicellular globose to broadly cylindric, stalked structure containing spermatozoides",,,,,antheridium,http://www.w3.org/2004/02/skos/core#Concept
p0035,archegonium,,p,"Female gametangium; a multicellular, flask-shaped structure consisting of a stalk, venter, neck and containing an ovum",,,,,archegonium,http://www.w3.org/2004/02/skos/core#Concept
p0036,gemma cup,,p,"Cup or moon-shaped, gemmae-containing structure of thalline or foliar origin",,,,,gemmaCup,http://www.w3.org/2004/02/skos/core#Concept
p0037,thallus,,p,"A more of less flattened, gametophyte, not differentiated into a stem and leaves",,,,,thallus,http://www.w3.org/2004/02/skos/core#Concept
p0038,sporophyte,,p,The spore-bearing new generation; initiated by the fertilization of an egg; remaining attached to the gametophyte and partially dependent on it,,,"Typically consisting of foot, seta, and capsule",,sporophyte,http://www.w3.org/2004/02/skos/core#Concept
