dcterms:identifier,ac:isROIOf,ac:xFrac,ac:yFrac,ac:widthFrac,ac:heightFrac,dcterm:description,dwc:scientificName,dwc:identifiedBy,ac:associatedObservationReference
http://bioimages.vanderbilt.edu/hessd/e538#roi1,http://bioimages.vanderbilt.edu/hessd/e5384,0.28939,0.23674,0.09066,0.26373,mine,Cyphacma tragiae,Terry Harrison,https://www.gbif.org/occurrence/930742101
http://bioimages.vanderbilt.edu/hessd/e538#roi2,http://bioimages.vanderbilt.edu/hessd/e5384,0.21892,0.44792,0.28147,0.34612,fruit,Tragia cordata,Darel Hess,
