dcterms_identifier,ac:variantLiteral,dc:format,exif:PixelXDimension,exif:PixelYDimension,ac:accessURI
http://bioimages.vanderbilt.edu/hessd/e5384,Best Quality,image/jpeg,2112,2526,https://iiif.library.vanderbilt.edu/iiif/3/bioimages%2Fhessd%2Ftrco--fr040529-17e5384.jpg/full/max/0/default.jpg
http://bioimages.vanderbilt.edu/hessd/e5384,Good Quality,image/jpeg,856,1024,"https://iiif.library.vanderbilt.edu/iiif/3/bioimages%2Fhessd%2Ftrco--fr040529-17e5384.jpg/full/856,/0/default.jpg"
